"Name","Team","GS","G","IP","W","L","QS","SV","HLD","H","ER","HR","SO","BB","WHIP","K/9","BB/9","ERA","FIP","-1","WAR","RA9-WAR","-1","ADP","playerid"
"Bailey Falter","PHI","16","38","110.0","6","7","6","0","1","109","52","18","100","27","1.24","8.23","2.25","4.29","4.33","","0.9","1.0","","409.0","20070"
"JP Sears","OAK","11","35","86.0","5","5","5","0","1","82","36","11","78","27","1.25","8.12","2.78","3.80","3.93","","0.9","0.7","","999.0","23429"
"Brad Keller","KCR","16","34","108.0","6","7","7","0","1","112","51","11","84","42","1.42","6.98","3.46","4.27","4.16","","0.9","1.0","","709.7","15734"
"Johnny Cueto","","26","26","152.0","8","10","11","0","0","167","79","23","106","41","1.37","6.29","2.44","4.68","4.63","","0.9","0.7","","558.2","6893"
"Jordan Lyles","KCR","29","29","169.0","8","12","12","0","0","184","93","26","120","55","1.42","6.41","2.94","4.95","4.77","","0.9","0.8","","571.9","7593"
"Pete Fairbanks","TBR","0","65","65.0","4","3","0","18","9","49","21","6","84","23","1.11","11.68","3.24","2.92","2.86","","0.8","0.9","","198.7","17998"
"Ryne Nelson","ARI","23","23","130.0","7","9","9","0","0","133","68","20","107","45","1.37","7.44","3.11","4.71","4.60","","0.8","0.9","","999.0","26253"
"Tanner Houck","BOS","5","51","72.0","4","4","2","0","4","66","29","7","79","25","1.25","9.84","3.07","3.64","3.38","","0.8","0.8","","363.6","19879"
"Félix Bautista","BAL","0","66","66.0","4","3","0","29","2","50","23","7","87","27","1.17","11.84","3.73","3.14","3.16","","0.8","0.8","","999.0","20666"
"Trevor Williams","WSN","21","39","130.0","6","9","7","0","1","138","69","21","101","41","1.38","7.01","2.84","4.80","4.74","","0.8","0.6","","573.0","16977"
"Dean Kremer","BAL","28","28","159.0","9","11","12","0","0","163","80","24","128","50","1.34","7.23","2.84","4.54","4.56","","0.8","0.8","","486.1","19350"
"A.J. Minter","ATL","0","68","68.0","4","3","0","2","13","56","25","7","84","23","1.16","11.05","3.09","3.24","3.14","","0.8","0.9","","463.6","18655"
"Ryan Pressly","HOU","0","62","62.0","4","3","0","30","3","52","21","6","72","19","1.14","10.47","2.70","3.11","3.01","","0.8","0.7","","51.2","7005"
"Brandon Pfaadt","ARI","13","13","74.0","4","5","6","0","0","73","35","11","67","19","1.25","8.13","2.28","4.28","4.12","","0.8","0.8","","999.0","sa3014983"
"Aaron Bummer","CHW","0","66","66.0","4","3","0","1","16","57","22","5","72","26","1.25","9.78","3.57","3.00","3.19","","0.8","0.8","","706.5","16258"
"Tyler Wells","BAL","26","26","136.0","8","10","9","0","0","140","70","24","114","39","1.31","7.50","2.56","4.62","4.66","","0.8","0.5","","533.5","20000"
"Devin Williams","MIL","0","65","65.0","4","3","0","28","2","49","23","6","84","29","1.20","11.68","4.07","3.12","3.20","","0.8","0.9","","48.3","15816"
