"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Andrew Vaughn","CHW","141","586","528","140","28","1","23","70","75","44","106","8","1","1","",".265",".327",".455",".782",".340","122","","-1.4","0.8","","13.2","-11.3","2.2","","999.0","26197"
"Josh Rojas","ARI","125","536","469","118","28","2","10","61","53","57","115","3","15","5","",".251",".333",".386",".718",".317","102","","1.6","-2.6","","3.1","-0.5","2.2","","999.0","19734"
"Christopher Morel","CHC","113","466","417","97","19","3","18","54","55","39","131","4","11","5","",".234",".304",".425",".729",".317","105","","0.5","-0.3","","3.0","1.7","2.1","","999.0","21897"
"Javier Báez","DET","141","627","580","140","29","4","22","71","73","30","169","9","10","4","",".241",".287",".415",".701",".303","98","","1.0","-6.5","","-0.1","0.5","2.1","","999.0","12979"
"Christian Bethancourt","TBR","73","287","265","65","13","1","11","32","36","15","67","2","3","1","",".247",".292",".420",".712",".309","106","","-0.5","1.5","","1.5","6.7","2.1","","999.0","10028"
"Santiago Espinal","TOR","122","485","437","117","25","1","8","54","50","38","69","3","8","3","",".269",".329",".388",".717",".315","106","","0.2","-1.4","","3.6","0.9","2.1","","999.0","19997"
"Teoscar Hernández","SEA","143","602","550","138","28","1","28","72","84","40","167","5","8","3","",".250",".304",".456",".760",".328","120","","-0.1","-3.6","","13.1","-12.4","2.1","","999.0","13066"
"Miguel Vargas","LAD","107","437","387","102","21","1","15","55","56","39","78","4","7","3","",".264",".336",".444",".780",".340","121","","-0.1","-4.8","","10.7","-5.6","2.1","","999.0","20178"
"Oscar Gonzalez","CLE","130","523","489","135","27","1","21","61","73","23","100","4","2","1","",".275",".311",".467",".778",".333","118","","-0.6","0.3","","10.1","-7.3","2.0","","999.0","20970"
"Mark Canha","NYM","133","556","473","114","22","1","15","64","59","58","113","19","5","2","",".242",".345",".391",".737",".328","118","","-1.1","-3.4","","10.5","-9.9","2.0","","999.0","11445"
"Josh Naylor","CLE","130","536","480","128","28","1","22","66","73","44","87","6","5","2","",".267",".333",".465",".798",".344","126","","-0.9","0.1","","14.7","-12.5","2.0","","999.0","18839"
